Date,Open,High,Low,Close,Volume
2018-01-02,39.9339864834405,40.436212064432425,39.72276790875693,40.426822662353516,102223600
2018-01-03,40.49019456253724,40.96425916920155,40.356426001755686,40.4197883605957,118071600
2018-01-04,40.492550813776724,40.71080973931958,40.38459771250492,40.607547760009766,89738400
2018-01-05,40.7037620126935,41.15670228861273,40.61223501708758,41.06986999511719,94640000
2018-01-08,40.91730499267578,41.213006614244364,40.81873420447963,40.91730499267578,82271200
2018-01-09,40.96425914982696,41.083947186365236,40.696718447382196,40.912628173828125,86336000
2018-01-10,40.63804105355738,40.90558171547584,40.6004906074266,40.90323257446289,95839600
2018-01-11,40.97364496545803,41.184863571147595,40.95017861883131,41.13557815551758,74670800
2018-01-12,41.34678818518986,41.623718257592046,41.22240546196927,41.56035232543945,101672400
2018-01-16,41.75043785426289,42.10011960737781,41.337393763186334,41.34912872314453,118263600
2018-01-17,41.33975804401989,42.06728291881285,41.08630141537823,42.032081604003906,137547200
2018-01-18,42.0954375270394,42.266760115574634,41.83259153401056,42.06962203979492,124773600
2018-01-19,41.91707157358285,42.14471622089114,41.63545040010063,41.88187026977539,129700400
2018-01-22,41.609640359208,41.72228812713289,41.445361618274205,41.53923416137695,108434400
2018-01-23,41.60963869012665,42.111864295697394,41.496990926720386,41.54861831665039,130756400
2018-01-24,41.597905380444125,41.60964034357955,40.64743066260191,40.886810302734375,204420400
2018-01-25,40.954867828442865,41.05812977560475,40.020822764492415,40.15694046020508,166116000
2018-01-26,40.36580561399968,40.36580561399968,39.91051630329917,40.25080871582031,156572000
2018-01-29,39.933984915843,39.933984915843,39.20880940754691,39.41767883300781,202561600
2018-01-30,38.84739402787731,39.279213415752686,38.6526051170296,39.185340881347656,184192800
2018-01-31,39.16186621989822,39.53032321393203,39.07503395702714,39.29328918457031,129915600
2018-02-01,39.23228073447791,39.57257317905928,39.13605905026289,39.37543869018555,188923200
2018-02-02,38.95769431806428,39.145442958690175,37.573054807837266,37.666927337646484,346375200
2018-02-05,37.33836925832738,38.4601628009349,36.610844631327524,36.7258415222168,290954000
2018-02-06,36.336272823957266,38.422621977266445,36.141483877235586,38.26068878173828,272975200
2018-02-07,38.27475961658197,38.347511362877434,37.3313288935791,37.441627502441406,206434400
2018-02-08,37.617645907713495,37.784273783894626,36.38320446331554,36.4113655090332,217562000
2018-02-09,37.01225968224657,37.20548409077683,35.402825738060095,36.85673522949219,282690400
2018-02-12,37.34920595641356,38.61931445678532,37.11591940081631,38.34125900268555,243278000
2018-02-13,38.16218480046921,38.82198249059951,38.09149154873951,38.72536849975586,130196800
2018-02-14,38.41902485300839,39.47941260422183,38.381324910071264,39.439353942871094,162579600
2018-02-15,40.009607831667644,40.787226261286364,39.82345244667649,40.76366424560547,204588800
2018-02-16,40.61521699774737,41.19489735366418,40.47618921168071,40.631710052490234,160704400
2018-02-20,40.542176168197194,41.06294258094195,40.393720669837656,40.49504852294922,135722000
